id,address,date,price,bedrooms,bathrooms,carparks
405165103,16 GLADSTONE AVENUE HUNTERS HILL NSW 2110,1991-08-02,827500,,,
405165713,17 / 35 LORNE AVENUE KILLARA NSW 2071,1991-06-21,183500,,,
405163450,37 BALGOWLAH ROAD MANLY NSW 2095,1991-06-18,283000,,,
405163567,36 WOOLWICH ROAD HUNTERS HILL NSW 2110,1991-04-17,250000,,,
405165677,36 WOOLWICH ROAD HUNTERS HILL NSW 2110,1991-04-17,1250000,,,
405165678,34 WOOLWICH ROAD HUNTERS HILL NSW 2110,1991-04-17,1250000,,,
405163689,166 EASTERN ROAD WAHROONGA NSW 2076,1991-06-04,165000,,,
405163679,21 CANOON ROAD SOUTH TURRAMURRA NSW 2074,1991-06-14,207000,,,
405163442,21 / 105 BALGOWLAH ROAD FAIRLIGHT NSW 2094,1991-07-03,214750,,,
405163321,16 REDGRAVE ROAD NORMANHURST NSW 2076,1991-04-19,250000,,,
405163549,1 TEDDICK PLACE CHERRYBROOK NSW 2126,1991-01-30,0,,,
405163585,61 EASTERN ARTERIAL ROAD ST IVES NSW 2075,1991-08-27,312500,,,
405163541,12 TALINGA PLACE CHERRYBROOK NSW 2126,1991-05-15,152000,,,
405164109,69 WIDEVIEW ROAD BEROWRA HEIGHTS NSW 2082,1991-08-07,174000,,,
405163674,24 THOMAS AVENUE ROSEVILLE NSW 2069,1991-03-19,362500,,,
405163802,18 TURNER ROAD BEROWRA HEIGHTS NSW 2082,1991-09-17,0,,,
405164046,5 / 37 ASHBURNER STREET MANLY NSW 2095,1991-11-16,0,,,
405160379,37 THORN STREET PENNANT HILLS NSW 2120,1991-10-18,220000,,,
405163698,7 PRIMULA STREET LINDFIELD NSW 2070,1991-01-25,122888,,,
405163817,25 ALEXANDRA STREET HUNTERS HILL NSW 2110,1991-03-19,0,,,
405164311,2 / 16 COVE AVENUE MANLY NSW 2095,1991-07-03,178000,,,
405164249,11 / 25 BEST STREET LANE COVE NSW 2066,1991-11-01,283000,,,
